id,log,seen,semantic_template,template,valid,predict
1042,data_thread() got not answer from any [Thunderbird_C6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1043,"synchronized to 10.100.16.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1044,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1045,"synchronized to 10.100.26.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1046,data_thread() got not answer from any [Thunderbird_A4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1047,data_thread() got not answer from any [Thunderbird_A8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1048,data_thread() got not answer from any [Thunderbird_D7] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1049,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1050,"synchronized to 10.100.16.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1051,data_thread() got not answer from any [Thunderbird_A1] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1052,data_thread() got not answer from any [Thunderbird_A3] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1053,data_thread() got not answer from any [Thunderbird_D8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1054,data_thread() got not answer from any [Thunderbird_B3] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1055,data_thread() got not answer from any [Thunderbird_D5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1056,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,False,[ib_sm_sweep.c:{line_number}]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,True,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
1057,data_thread() got not answer from any [Thunderbird_B6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1058,"synchronized to 10.100.16.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1059,data_thread() got not answer from any [Thunderbird_B7] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1060,[ib_sm_sweep.c:1455]: No topology change,False,[ib_sm_sweep.c:{line_number}]: No topology change,[ib_sm_sweep.c:<*>]: No topology change,True,[ib_sm_sweep.c:<*>]: No topology change
1061,[ib_sm_sweep.c:1482]: No configuration change required,False,[ib_sm_sweep.c:{line_number}]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required,True,[ib_sm_sweep.c:<*>]: No configuration change required
1062,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1063,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1064,"synchronized to 10.100.28.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1065,data_thread() got not answer from any [Thunderbird_A5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1066,data_thread() got not answer from any [Thunderbird_C8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1067,data_thread() got not answer from any [Thunderbird_A6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1068,data_thread() got not answer from any [Thunderbird_C1] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1069,data_thread() got not answer from any [Thunderbird_D6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1070,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1071,"synchronized to 10.100.24.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1072,"synchronized to 10.100.14.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1073,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,False,[ib_sm_sweep.c:{line_number}]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,True,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
1074,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1075,"synchronized to 10.100.22.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1076,"synchronized to 10.100.10.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1077,data_thread() got not answer from any [Thunderbird_C2] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1078,data_thread() got not answer from any [Thunderbird_B2] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1079,data_thread() got not answer from any [Thunderbird_A2] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1080,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1081,data_thread() got not answer from any [Thunderbird_C5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1082,[ib_sm_sweep.c:1455]: No topology change,False,[ib_sm_sweep.c:{line_number}]: No topology change,[ib_sm_sweep.c:<*>]: No topology change,True,[ib_sm_sweep.c:<*>]: No topology change
1083,[ib_sm_sweep.c:1482]: No configuration change required,False,[ib_sm_sweep.c:{line_number}]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required,True,[ib_sm_sweep.c:<*>]: No configuration change required
1084,data_thread() got not answer from any [Thunderbird_A7] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1085,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1086,"synchronized to 10.100.16.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1087,data_thread() got not answer from any [Thunderbird_B4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1088,data_thread() got not answer from any [Thunderbird_B5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1089,data_thread() got not answer from any [Thunderbird_C4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1090,data_thread() got not answer from any [Thunderbird_B1] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1091,data_thread() got not answer from any [Thunderbird_B8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1092,data_thread() got not answer from any [Thunderbird_C6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1093,data_thread() got not answer from any [Thunderbird_D4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1094,data_thread() got not answer from any [Thunderbird_D7] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1095,data_thread() got not answer from any [Thunderbird_D5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1096,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1097,data_thread() got not answer from any [Thunderbird_A1] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1098,data_thread() got not answer from any [Thunderbird_A8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1099,data_thread() got not answer from any [Thunderbird_D8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1100,session opened for user root by (uid=0),False,session opened for user {username} by (uid={uid_number}),session opened for user <*> by (uid=<*>),True,session opened for user <*> by (uid=<*>)
1101,(root) CMD (/projects/tbird/temps/get_temps a),False,({user}) CMD ({command}),(<*>) CMD (<*> <*>),True,(<*>) CMD (<*>)
1102,session opened for user root by (uid=0),False,session opened for user {username} by (uid={uid_number}),session opened for user <*> by (uid=<*>),True,session opened for user <*> by (uid=<*>)
1103,(root) CMD (/projects/tbird/temps/get_temps b),False,({user}) CMD ({command}),(<*>) CMD (<*> <*>),True,(<*>) CMD (<*>)
1104,session opened for user root by (uid=0),False,session opened for user {username} by (uid={uid_number}),session opened for user <*> by (uid=<*>),True,session opened for user <*> by (uid=<*>)
1105,(root) CMD (/projects/tbird/temps/get_temps c),False,({user}) CMD ({command}),(<*>) CMD (<*> <*>),True,(<*>) CMD (<*>)
1106,session opened for user root by (uid=0),False,session opened for user {username} by (uid={uid_number}),session opened for user <*> by (uid=<*>),True,session opened for user <*> by (uid=<*>)
1107,(root) CMD (/projects/tbird/temps/get_temps d),False,({user}) CMD ({command}),(<*>) CMD (<*> <*>),True,(<*>) CMD (<*>)
1108,session opened for user root by (uid=0),False,session opened for user {username} by (uid={uid_number}),session opened for user <*> by (uid=<*>),True,session opened for user <*> by (uid=<*>)
1109,(root) CMD (/projects/tbird/temps/get_temps e),False,({user}) CMD ({command}),(<*>) CMD (<*> <*>),True,(<*>) CMD (<*>)
1110,data_thread() got not answer from any [Thunderbird_A4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1111,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,False,[ib_sm_sweep.c:{line_number}]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,True,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
1112,"synchronized to 10.100.16.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1113,"synchronized to 10.100.28.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1114,data_thread() got not answer from any [Thunderbird_B3] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1115,data_thread() got not answer from any [Thunderbird_B6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1116,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1117,data_thread() got not answer from any [Thunderbird_A3] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1118,[ib_sm_sweep.c:1455]: No topology change,False,[ib_sm_sweep.c:{line_number}]: No topology change,[ib_sm_sweep.c:<*>]: No topology change,True,[ib_sm_sweep.c:<*>]: No topology change
1119,[ib_sm_sweep.c:1482]: No configuration change required,False,[ib_sm_sweep.c:{line_number}]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required,True,[ib_sm_sweep.c:<*>]: No configuration change required
1120,"synchronized to 10.100.16.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1121,data_thread() got not answer from any [Thunderbird_A5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1122,data_thread() got not answer from any [Thunderbird_C8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1123,data_thread() got not answer from any [Thunderbird_C1] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1124,data_thread() got not answer from any [Thunderbird_B7] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1125,RRD_update (/var/lib/ganglia/rrds/D Nodes/dn731/pkts_out.rrd): illegal attempt to update using time 1131563412 when last update time is 1131563412 (minimum one second step),False,RRD_update ({file_path}): illegal attempt to update using time {update_time} when last update time is {last_update_time} (minimum one second step),RRD_update (<*>): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),True,RRD_update (<*>): illegal attempt to update using time <*> when last update time is <*> (minimum one second step)
1126,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1127,data_thread() got not answer from any [Thunderbird_A6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1128,"synchronized to 10.100.22.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1129,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1130,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,False,[ib_sm_sweep.c:{line_number}]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,True,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
1131,data_thread() got not answer from any [Thunderbird_D6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1132,"synchronized to 10.100.16.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1133,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1134,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1135,data_thread() got not answer from any [Thunderbird_A7] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1136,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1137,[ib_sm_sweep.c:1455]: No topology change,False,[ib_sm_sweep.c:{line_number}]: No topology change,[ib_sm_sweep.c:<*>]: No topology change,True,[ib_sm_sweep.c:<*>]: No topology change
1138,[ib_sm_sweep.c:1482]: No configuration change required,False,[ib_sm_sweep.c:{line_number}]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required,True,[ib_sm_sweep.c:<*>]: No configuration change required
1139,"synchronized to 10.100.22.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1140,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1141,data_thread() got not answer from any [Thunderbird_B2] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1142,data_thread() got not answer from any [Thunderbird_B4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1143,data_thread() got not answer from any [Thunderbird_C4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1144,data_thread() got not answer from any [Thunderbird_C2] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1145,data_thread() got not answer from any [Thunderbird_D4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1146,"synchronized to 10.100.16.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1147,data_thread() got not answer from any [Thunderbird_A2] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1148,data_thread() got not answer from any [Thunderbird_D7] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1149,data_thread() got not answer from any [Thunderbird_C5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1150,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1151,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1152,data_thread() got not answer from any [Thunderbird_B8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1153,data_thread() got not answer from any [Thunderbird_D5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1154,"synchronized to 10.100.22.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1155,data_thread() got not answer from any [Thunderbird_B5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1156,data_thread() got not answer from any [Thunderbird_C6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1157,data_thread() got not answer from any [Thunderbird_B1] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1158,"synchronized to 10.100.24.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1159,data_thread() got not answer from any [Thunderbird_D8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1160,data_thread() got not answer from any [Thunderbird_A1] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1161,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,False,[ib_sm_sweep.c:{line_number}]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,True,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
1162,My unqualified host name (eadmin1) unknown; sleeping for retry,False,My unqualified host name ({host_name}) unknown; sleeping for retry,My unqualified host name (<*>) unknown; sleeping for retry,True,My unqualified host name (<*>) unknown; sleeping for retry
1163,My unqualified host name (aadmin1) unknown; sleeping for retry,False,My unqualified host name ({host_name}) unknown; sleeping for retry,My unqualified host name (<*>) unknown; sleeping for retry,True,My unqualified host name (<*>) unknown; sleeping for retry
1164,My unqualified host name (badmin1) unknown; sleeping for retry,False,My unqualified host name ({host_name}) unknown; sleeping for retry,My unqualified host name (<*>) unknown; sleeping for retry,True,My unqualified host name (<*>) unknown; sleeping for retry
1165,"synchronized to 10.100.24.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1166,data_thread() got not answer from any [Thunderbird_A5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1167,data_thread() got not answer from any [Thunderbird_B3] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1168,My unqualified host name (cadmin1) unknown; sleeping for retry,False,My unqualified host name ({host_name}) unknown; sleeping for retry,My unqualified host name (<*>) unknown; sleeping for retry,True,My unqualified host name (<*>) unknown; sleeping for retry
1169,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1170,My unqualified host name (dadmin1) unknown; sleeping for retry,False,My unqualified host name ({host_name}) unknown; sleeping for retry,My unqualified host name (<*>) unknown; sleeping for retry,True,My unqualified host name (<*>) unknown; sleeping for retry
1171,data_thread() got not answer from any [Thunderbird_A3] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1172,data_thread() got not answer from any [Thunderbird_A4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1173,data_thread() got not answer from any [Thunderbird_A8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1174,"synchronized to 10.100.24.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1175,[ib_sm_sweep.c:1455]: No topology change,False,[ib_sm_sweep.c:{line_number}]: No topology change,[ib_sm_sweep.c:<*>]: No topology change,True,[ib_sm_sweep.c:<*>]: No topology change
1176,[ib_sm_sweep.c:1482]: No configuration change required,False,[ib_sm_sweep.c:{line_number}]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required,True,[ib_sm_sweep.c:<*>]: No configuration change required
1177,data_thread() got not answer from any [Thunderbird_B6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1178,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1179,data_thread() got not answer from any [Thunderbird_C8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1180,data_thread() got not answer from any [Thunderbird_A6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1181,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1182,CentOS-4 (Kernel Module GPG key),False,CentOS-{version} ({module_name}),CentOS-<*> (Kernel Module GPG key),True,CentOS-<*> (<*>)
1183,(supports S0 S4 S5),False,(supports {state1} {state2} {state3}),(supports <*>),True,(supports <*> <*> <*>)
1184,DSDT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000e) @ 0x0000000000000000,False,DSDT (v001 {manufacturer} {model} 0x{revision} MSFT 0x{msft_revision}) @ 0x{address},<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>,True,DSDT (v001 <*> <*> 0x<*> MSFT 0x<*>) @ 0x<*>
1185,FADT (v001 DELL PE BKC 0x00000001 MSFT 0x0100000a) @ 0x00000000000fd6b0,False,FADT (v001 {manufacturer} {model} 0x{revision} MSFT 0x{msft_revision}) @ 0x{address},<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>,True,FADT (v001 <*> <*> 0x<*> MSFT 0x<*>) @ 0x<*>
